Project_ID,Constituency,Project_Name,Category,Sanctioned_Cost_Lakhs,Disbursed_Cost_Lakhs,Physical_Progress_Percent,Start_Date,Expected_End_Date,Status,Anomaly_Type
MPLAD001,Varanasi,Installation of 10 Handpumps,Drinking Water,5.50,5.50,100,2023-01-10,2023-04-10,Completed,None
MPLAD002,Lucknow,Primary School Boundary Wall,Education,12.00,6.00,45,2023-11-05,2024-03-05,Completed,None
MPLAD003,New Delhi,Open Gym in Park,Public Utilities,8.50,8.50,100,2023-02-15,2023-05-15,Completed,None
MPLAD004,Pune,Bus Shelter Construction,Roads,4.00,2.00,50,2024-01-10,2024-04-10,In Progress,None
MPLAD005,Bhopal,Anganwadi Center Upgradation,Health,15.00,7.50,60,2023-09-01,2024-02-01,Completed,None
MPLAD006,Jaipur,High Mast Light Installation,Public Utilities,6.25,6.25,100,2023-06-20,2023-08-20,Completed,None
MPLAD007,Patna,Concrete Road in Block A,Roads,25.00,10.00,40,2024-03-01,2024-09-01,In Progress,None
MPLAD008,Wayanad,Drinking Water Pipeline,Drinking Water,18.00,9.00,45,2024-02-15,2024-10-15,In Progress,None
MPLAD009,Amethi,Public Toilet Complex,Sanitation,10.00,5.00,60,2023-12-01,2024-04-01,Completed,None
MPLAD010,Hyderabad,Government Hospital Ambulance,Health,22.00,22.00,100,2023-05-10,2023-06-10,Completed,None
MPLAD011,Chennai Central,Smart Classroom Equipment,Education,20.00,19.50,5,2023-08-01,2024-02-01,In Progress,Financial Leakage
MPLAD012,Bangalore South,Storm Water Drain Repair,Sanitation,14.00,7.00,55,2024-01-20,2024-06-20,In Progress,None
MPLAD013,Mumbai North,Community Hall Repair,Public Utilities,16.50,8.25,45,2024-02-10,2024-07-10,In Progress,None
MPLAD014,Kolkata Dakshin,New Tube Wells in Ward 5,Drinking Water,7.00,3.50,50,2024-03-15,2024-06-15,In Progress,None
MPLAD015,Pune,Construction of Community Hall in Ward 4,Public Utilities,25.00,10.00,35,2023-10-10,2024-04-10,In Progress,Duplicate work
MPLAD016,Ahmedabad West,Solar Panels for Govt College,Education,30.00,15.00,60,2023-11-25,2024-05-25,In Progress,None
MPLAD017,Varanasi,Rural Health Clinic,Health,45.00,20.00,40,2024-01-05,2024-12-05,In Progress,None
MPLAD018,Lucknow,Paving of Market Road,Roads,35.00,35.00,100,2023-03-10,2023-09-10,Completed,None
MPLAD019,New Delhi,CCTV Camera Installation,Public Utilities,12.00,6.00,50,2024-04-01,2024-08-01,In Progress,None
MPLAD020,Pune,Public Library Furniture,Education,5.00,5.00,100,2023-07-15,2023-09-15,Completed,None
MPLAD021,Bhopal,Sewer Line Extension,Sanitation,28.00,14.00,45,2024-02-20,2024-10-20,In Progress,None
MPLAD022,Jaipur,Renovation of Sports Complex,Public Utilities,15.00,60.00,85,2023-05-15,2024-01-15,In Progress,Severe cost overrun
MPLAD023,Patna,Water Purification Plant,Drinking Water,40.00,20.00,50,2023-10-05,2024-08-05,In Progress,None
MPLAD024,Wayanad,Footbridge Construction,Roads,18.00,18.00,100,2023-01-20,2023-06-20,Completed,None
MPLAD025,Amethi,Village Electrification Expansion,Public Utilities,22.50,11.00,40,2024-01-15,2024-07-15,In Progress,None
MPLAD026,Hyderabad,Women Empowerment Center,Education,35.00,17.50,55,2023-09-10,2024-05-10,In Progress,None
MPLAD027,Chennai Central,Park Beautification,Public Utilities,8.00,4.00,45,2024-03-05,2024-06-05,In Progress,None
MPLAD028,Jaipur,Solar Street Lights Installation Phase 1,Public Utilities,15.00,7.50,40,2023-11-01,2024-03-01,In Progress,Duplicate work
MPLAD029,Mumbai North,Slum Sanitation Project,Sanitation,50.00,25.00,50,2023-12-15,2024-10-15,In Progress,None
MPLAD030,Kolkata Dakshin,Primary School Desks,Education,4.50,4.50,100,2023-06-10,2023-07-10,Completed,None
MPLAD031,Ahmedabad West,Maternity Ward Upgradation,Health,25.00,12.50,30,2021-08-10,2022-05-01,In Progress,Extreme delay
MPLAD032,Varanasi,Bicycle Tracks in University,Roads,16.00,8.00,45,2024-01-10,2024-05-10,In Progress,None
MPLAD033,Lucknow,Garbage Disposal Vehicles,Sanitation,20.00,20.00,100,2023-04-15,2023-05-15,Completed,None
MPLAD034,New Delhi,Senior Citizen Recreation Center,Public Utilities,14.00,7.00,60,2023-10-20,2024-04-20,In Progress,None
MPLAD035,Pune,Overhead Water Tank,Drinking Water,32.00,16.00,45,2023-12-05,2024-09-05,In Progress,None
MPLAD036,Bhopal,Culvert Construction over Nala,Roads,11.50,11.50,100,2023-02-10,2023-06-10,Completed,None
MPLAD037,Jaipur,X-Ray Machine for Govt Clinic,Health,18.00,18.00,100,2023-08-15,2023-09-15,Completed,None
MPLAD038,Patna,Computer Labs in 5 Schools,Education,40.00,38.00,2,2023-07-10,2023-12-10,In Progress,Financial leakage
MPLAD039,Wayanad,Tractor for Panchayat,Public Utilities,9.00,9.00,100,2023-03-25,2023-04-25,Completed,None
MPLAD040,Amethi,Rural Roads Resurfacing,Roads,45.00,22.50,55,2023-11-15,2024-08-15,In Progress,None
MPLAD041,Hyderabad,Drainage System Overhaul,Sanitation,30.00,15.00,40,2024-02-01,2024-11-01,In Progress,None
MPLAD042,Chennai Central,Rainwater Harvesting Structures,Drinking Water,12.00,6.00,60,2023-09-20,2024-02-20,Completed,None
MPLAD043,Bangalore South,Auditorium Acoustic Paneling,Public Utilities,20.00,10.00,50,2024-01-10,2024-06-10,In Progress,None
MPLAD044,Mumbai North,Blood Bank Refrigeration Unit,Health,8.50,8.50,100,2023-05-12,2023-07-12,Completed,None
